"%s of the items will be backordered.","%s of the items will be backordered."
"Please note that the stock report is generated only when the setting “Enable Custom Options Inventory” is enabled. &lt;br&gt; The quantity of options linked to other SKUs won’t be updated from this report. To update their stock values you should edit the quantity of the linked product. &lt;br&gt; In order to udate quantities in bulk you should select custom options you need to update, choose the “Change Quantity” action and enter the stock value you want to set. You can use “+” and “-” to increase or decrease the stock by a specific value. &lt;br&gt; Example: &lt;br&gt; 10 - set a stock value for all selected options to 10; &lt;br&gt; +10 - increase a stock value for all selected options by 10; &lt;br&gt; -10 - decrease a stock value for all selected options by 10.","Please note that the stock report is generated only when the setting “Enable Custom Options Inventory” is enabled. &lt;br&gt; The quantity of options linked to other SKUs won’t be updated from this report. To update their stock values you should edit the quantity of the linked product. &lt;br&gt; In order to udate quantities in bulk you should select custom options you need to update, choose the “Change Quantity” action and enter the stock value you want to set. You can use “+” and “-” to increase or decrease the stock by a specific value. &lt;br&gt; Example: &lt;br&gt; 10 - set a stock value for all selected options to 10; &lt;br&gt; +10 - increase a stock value for all selected options by 10; &lt;br&gt; -10 - decrease a stock value for all selected options by 10."
"Please select Option(s)","Please select Option(s)"
"Please select Row(s)","Please select Row(s)"
"Please specify the product required option(s)","Please specify the product required option(s)"
"Previous page","Previous page"
Price,Price
"Product Id","Product Id"
"Product Name","Product Name"
"Product Sku","Product Sku"
"Product has required options","Product has required options"
"Product prices reindexed (100%)...","Product prices reindexed (100%)..."
Products,Products
Qty,Qty
"Replace Product Gallery","Replace Product Gallery"
Replacement,Replacement
SKU,SKU
"SKU Policy","SKU Policy"
Save,Save
"Save And Continue Edit","Save And Continue Edit"
"Select All","Select All"
"Select Children","Select Children"
"Select Options Templates and Save the product to apply options or &lt;a href=&quot;%s&quot; target=&quot;_blank&quot;&gt;click here to define&lt;/a&gt;","Select Options Templates and Save the product to apply options or &lt;a href=&quot;%s&quot; target=&quot;_blank&quot;&gt;click here to define&lt;/a&gt;"
"Select Visible","Select Visible"
"Select type options required values rows.","Select type options required values rows."
"Set Product Out of Stock if Required Option is Out of Stock","Set Product Out of Stock if Required Option is Out of Stock"
"Show Qty per Option in Cart","Show Qty per Option in Cart"
"Size of Thumbnails","Size of Thumbnails"
"Some options are not available for your customer group","Some options are not available for your customer group"
"Some options are not available for your customer group. Please, edit product &quot;%s&quot;","Some options are not available for your customer group. Please, edit product &quot;%s&quot;"
Standard,Standard
"Starting applying options to products...","Starting applying options to products..."
"Starting at","Starting at"
Status,Status
"Stock Report","Stock Report"
"Stock Reports","Stock Reports"
Swatch,Swatch
"Swatch Multiselect","Swatch Multiselect"
"Template &quot;%s&quot; (ID:%d) already exists.","Template &quot;%s&quot; (ID:%d) already exists."
"Template &quot;%s&quot; (ID:%d) was successfully imported.","Template &quot;%s&quot; (ID:%d) was successfully imported."
"Template Options","Template Options"
Templates,Templates
